escenario,paso,enemigos,bombas,explosiones,powerups,caos,dificultad
Presión alta,36,2.0077874022679696,0.67972141822377,0.45489415806912864,2.2962233988745218,0.14776296565545968,1.0812696311105023
Presión alta,37,1.9794444539702332,0.6744973339000915,0.45298774093639776,2.3356131055725124,0.12541665378401773,1.06897915958121
Presión alta,38,1.9600862698282018,0.6714940623315231,0.4518319667111934,2.376502857380602,0.10397490540645599,1.0571861979735506
Presión alta,39,1.9376100630550221,0.6729753260467344,0.45072241622600445,2.4145811700181516,0.08721445853376945,1.0479679521935732
Presión alta,40,1.9432429065253243,0.6724174368288874,0.4492754596675122,2.4526613971476676,0.07471291374625266,1.0410921025604392
Presión alta,41,1.9162736301700987,0.6744845650974234,0.44457709048467137,2.490653085312084,0.06277233058186457,1.0345247818200258
Presión alta,42,1.8941148904399048,0.6763890657434791,0.4447013028218968,2.5304856368642943,0.052478339253513126,1.0288630865894322
Presión alta,43,1.8785753140325494,0.6734276366670716,0.4479286049901093,2.5670045155903933,0.04306894517356891,1.0236879198454631
Presión alta,44,1.865946127571177,0.6785003685008847,0.4424468182472453,2.6040289914834944,0.035719610294335145,1.0196457856618844
Presión alta,45,1.8509039213052887,0.6748783247241087,0.44601102443684826,2.6399726551605216,0.028405656672380607,1.015623111169809
Presión alta,46,1.8337636300739135,0.6731616487473687,0.4477401928572079,2.672552111332129,0.02396113345016031,1.0131786233975881
Presión alta,47,1.8162670512908472,0.672340152957632,0.446358203541664,2.707856154915022,0.01822237085617255,1.010022303970895
Presión alta,48,1.8123607930917125,0.6703084207206486,0.44813745891903933,2.7439776146795816,0.013228523735495077,1.0072756880545222
Presión alta,49,1.7977632948737394,0.6537383810805878,0.46185783392926183,2.780440196347547,0.01087700189764249,1.0059823510437034
Presión alta,50,1.7804653466297307,0.6586550831495872,0.45073337891234533,2.8161002031166453,0.008359416105474362,1.0045976788580109
Presión alta,51,1.768104794793965,0.6600659972975808,0.44651201747156377,2.8498321647849885,0.006830205424452494,1.0037566129834488
Presión alta,52,1.760044735935641,0.6617549178551605,0.441910024060137,2.8844031248028466,0.005668916620250816,1.003117904141138
Presión alta,53,1.747135045009185,0.6626931521418413,0.4395226511743383,2.9174348754182167,0.004226408258604225,1.0023245245422323
Presión alta,54,1.7349924024809744,0.6638851622754375,0.4412872259576005,2.95096199307425,0.003489373183125501,1.001919155250719
Presión alta,55,1.7304045301077096,0.6619898792659261,0.43947274237446216,2.9848500623704246,0.003033305734088845,1.0016683181537487
Presión alta,56,1.7262514056144105,0.6643276738081886,0.4409636968562854,3.0185858457232517,0.00248202666002528,1.0013651146630138
Presión alta,57,1.7135150406333841,0.6658119829346123,0.4406160299851392,3.0502414474604587,0.0017822464642741364,1.0009802355553508
Presión alta,58,1.7097771277454206,0.664950561762971,0.4426512532462509,3.0823241925193914,0.0007764952903000288,1.000427072409665
Presión alta,59,1.6928919698261564,0.6671186567708363,0.44322493389252826,3.1138748019893274,0.0005897520233645354,1.0003243636128505
Presión alta,60,1.681816476671709,0.665942197317719,0.4447593258208478,3.146975021775737,0.0006610239494544909,1.0003635631721999
Presión alta,61,1.6723008835117823,0.6649830441861658,0.4448479641313541,3.178050021121732,0.000479441979046325,1.0002636930884754
Presión alta,62,1.6619299364271833,0.6708840383588793,0.43731628041123566,3.2098447894099182,0.00024254884171667768,1.0001334018629442
Presión alta,63,1.6625708810317443,0.6740923573703842,0.4391640547386329,3.241301675821495,4.563193878956095e-05,1.0000250975663343
Presión alta,64,1.6523302589128983,0.6715785925498924,0.4422731172100297,3.275215808498461,0.0,1.0
Presión alta,65,1.6395801163644412,0.6725429121895811,0.4428449141271015,3.306193106265705,0.0,1.0
Presión alta,66,1.6614904235711285,0.6722157123488364,0.4442566700642835,3.3348138410718544,0.0,1.0
Presión alta,67,1.6472386332778113,0.6778795273818345,0.4447780873862225,3.3650049843963092,0.0,1.0
Presión alta,68,1.6858407716136177,0.6731117459519399,0.44627397439134436,3.412827416726003,0.0,1.0
Presión alta,69,1.660337174222757,0.671211711741967,0.4468550132207186,3.44342092028269,0.0,1.0
Presión alta,70,1.6407486606924815,0.6718383776519328,0.4451886753780127,3.473917154668442,0.0,1.0
Presión alta,71,1.624182652125514,0.670405807337939,0.44555830029905635,3.50199366139683,0.0,1.0
Presión alta,72,1.6102812926123462,0.6675496041549946,0.447505277063107,3.531696066249052,0.0,1.0
Presión alta,73,1.5987457531051872,0.6703092719364014,0.4425153301175779,3.5581368616845173,0.0,1.0
Presión alta,74,1.5887843953904885,0.6520308854683975,0.4451081602273102,3.5847308124346546,0.0,1.0
Presión alta,75,1.5786891708528807,0.6949944230029556,0.4085157786345273,3.6131968875126472,0.0,1.0
Presión alta,76,1.56973277532467,0.6848535669702238,0.4372668431023191,3.6415439123183977,0.0,1.0
Presión alta,77,1.5583755006917344,0.6805335863736088,0.44448594665247165,3.668889750116936,4.063982313527337e-05,1.0000223519027245
Presión alta,78,1.5510891243682179,0.6787061342048335,0.4469596963788976,3.6962959926012884,0.0,1.0
Presión alta,79,1.54383843839638,0.6769971489280097,0.44746728170674865,3.7244675143477757,0.0,1.0
Presión alta,80,1.538635598243281,0.6735638295253117,0.45012559939222174,3.751567878708926,0.0,1.0
Presión alta,81,1.532377385658805,0.6725227418993158,0.4498091427871527,3.780356697210276,0.0,1.0
Presión alta,82,1.5270134020629595,0.6680048254578534,0.4492504477674331,3.8085945203861398,0.0,1.0
